iter	R2	RMSE
0	0.006353257351	8.120304441
1	0.01173054945	8.098302414
2	0.01845933641	8.070686048
3	0.02395172006	8.048073898
4	0.03003631793	8.022949193
5	0.03531182269	8.001101564
6	0.0413594502	7.975982693
7	0.04768782869	7.949612739
8	0.0532226651	7.926477508
9	0.05834805611	7.904993349
10	0.06456525991	7.878853996
11	0.06963609878	7.857469986
12	0.07486185634	7.835371615
13	0.0799133572	7.813950725
14	0.08508379641	7.791964493
15	0.09015577801	7.770336488
16	0.09542935622	7.74778481
17	0.1000634395	7.727913514
18	0.1055241245	7.704431908
19	0.1102807041	7.683919564
20	0.1148500206	7.664163077
21	0.1195146282	7.643941906
22	0.124307747	7.623107761
23	0.1289183441	7.603013108
24	0.1334692578	7.583126358
25	0.1375808996	7.565114202
26	0.1426348797	7.542914951
27	0.14779596	7.520177641
28	0.1524692576	7.499529803
29	0.1572387388	7.478398221
30	0.1622042241	7.456334597
31	0.1670141946	7.434899556
32	0.1712662162	7.415899352
33	0.1752686941	7.397969651
34	0.1789381897	7.381493326
35	0.1833715359	7.361538063
36	0.1875509301	7.34267622
37	0.1914722298	7.32493501
38	0.1945744154	7.31086923
39	0.1988246822	7.291553823
40	0.2033587506	7.270892108
41	0.2075254638	7.251852522
42	0.2116046913	7.233164147
43	0.2153707035	7.215867752
44	0.2192811931	7.197863822
45	0.2232128059	7.179717127
46	0.2270932828	7.161761368
47	0.2310677294	7.143324004
48	0.2352946076	7.123663254
49	0.2390491767	7.106153769
50	0.2423786022	7.090590775
51	0.24620259	7.072673756
52	0.249994709	7.054861121
53	0.2530101369	7.040664654
54	0.2568138365	7.022716116
55	0.2606656306	7.004493766
56	0.2636216955	6.990476782
57	0.2669711394	6.974560441
58	0.2705566997	6.957481739
59	0.2730883557	6.945397688
60	0.2760261718	6.931348553
61	0.2793194232	6.915565737
62	0.2826633243	6.899503243
63	0.2856280478	6.885230798
64	0.2890138985	6.868894733
65	0.2912681364	6.8579969
66	0.2945621556	6.84204116
67	0.2968477832	6.830948016
68	0.2994922759	6.818090624
69	0.3031268774	6.800379705
70	0.3060555704	6.786074954
71	0.3087928949	6.772677596
72	0.3114806833	6.759496847
73	0.3147753337	6.743304938
74	0.317610861	6.729338243
75	0.319815655	6.718458228
76	0.322393975	6.705712579
77	0.3249204965	6.693199445
78	0.3274310956	6.680741955
79	0.3297426837	6.669251373
80	0.3315978985	6.660015019
81	0.3335271086	6.650396668
82	0.3362744798	6.636675197
83	0.3389599652	6.623235335
84	0.3414381399	6.610808746
85	0.344236268	6.596749641
86	0.346988374	6.582892483
87	0.349422287	6.570613112
88	0.3523687575	6.555717053
89	0.3540655784	6.547123294
90	0.3560136509	6.53724311
91	0.3583650054	6.525297645
92	0.3610831454	6.51146151
93	0.3635457661	6.49890061
94	0.3655138558	6.488844645
95	0.3678206614	6.477038136
96	0.3704333408	6.463640083
97	0.372902661	6.45095161
98	0.3750319152	6.439990477
99	0.3775275815	6.427119304
100	0.3798832557	6.414946435
101	0.3821084371	6.40342663
102	0.3839450373	6.393902882
103	0.3865087277	6.380585015
104	0.3889147158	6.368061045
105	0.3910086472	6.357141354
